"geneid","gene_index","padj","SYMBOL"
"ENSG00000222488",28364,1.46836712636548e-30,"RNU6-285P"
"ENSG00000223723",25008,3.54354096190678e-30,"BX842568.2"
"ENSG00000254066",18129,3.54354096190678e-30,"CTB-181F24.1"
"ENSG00000250786",15717,3.59647752975947e-30,"SNHG18"
"ENSG00000176087",17650,4.03466137712268e-30,"SLC35A4"
"ENSG00000182983",10308,4.07065762351536e-30,"ZNF662"
"ENSG00000226506",5588,4.19371463845207e-30,"AC007463.2"
"ENSG00000173626",20727,4.24108274544555e-30,"TRAPPC3L"
"ENSG00000248484",18325,4.24108274544555e-30,"RP11-375B1.1"
"ENSG00000259317",46100,4.64109310622594e-30,"RP11-561C5.7"
"ENSG00000174885",31847,4.76434044083909e-30,"NLRP6"
"ENSG00000281756",19401,5.50867650063614e-30,"C2-AS1"
"ENSG00000214147",12669,5.86413601825587e-30,"RP11-332P22.2"
"ENSG00000226436",24944,6.66543780231798e-30,"RP1-22N22.1"
"ENSG00000235636",25191,7.96180558526957e-30,"NUS1P1"
"ENSG00000207362",36948,8.29993545907273e-30,"RNU6-422P"
"ENSG00000103126",46518,9.36049468612098e-30,"AXIN1"
"ENSG00000169116",13977,9.72674652130897e-30,"PARM1"
"ENSG00000132207",47552,1.02058923781088e-29,"SLX1A"
"ENSG00000132854",1841,1.02058923781088e-29,"KANK4"
"ENSG00000189077",23007,1.07046465838526e-29,"TMEM120A"
"ENSG00000276754",46824,1.38108632203185e-29,"RP11-461A8.5"
"ENSG00000234088",1837,2.08093819830198e-29,"RPS15AP7"
"ENSG00000237227",1839,2.28275810665108e-29,"RP5-1155K23.4"
"ENSG00000065883",22295,2.33172653422611e-29,"CDK13"
"ENSG00000261514",50822,2.52952907845728e-29,"RP11-527L4.2"
"ENSG00000224656",25202,2.78651452558535e-29,"RP1-212G6.4"
"ENSG00000250594",14459,3.19298321900303e-29,"RP11-433B3.1"
"ENSG00000202478",41384,3.37340972162482e-29,"RNU6-81P"
"ENSG00000184254",46443,3.43002507961781e-29,"ALDH1A3"
"ENSG00000184304",42503,4.24292458021211e-29,"PRKD1"
"ENSG00000261811",46886,4.24551447596461e-29,"RP11-382N13.2"
"ENSG00000276103",3139,4.62471226856485e-29,"U4"
"ENSG00000231221",7436,6.14989421232909e-29,"LINC01593"
"ENSG00000168539",33442,6.27780713558931e-29,"CHRM1"
"ENSG00000279798",39694,9.35625728344028e-29,"RP11-528M18.2"
"ENSG00000246250",32805,9.3723149075902e-29,"RP11-613D13.5"
"ENSG00000212276",31077,1.02472695189956e-28,"RNA5SP292"
"ENSG00000229037",25442,1.03539161847436e-28,"RP11-272G22.3"
"ENSG00000251123",15139,1.0435479320944e-28,"RP11-580J4.1"
"ENSG00000160679",3312,1.05291083224413e-28,"CHTOP"
"ENSG00000230224",36947,1.05316562753608e-28,"PHBP9"
"ENSG00000276672",40941,1.05316562753608e-28,"RP11-142E9.1"
"ENSG00000229922",21033,1.05444984381224e-28,"RP11-240M16.1"
"ENSG00000176658",50273,1.07810425435571e-28,"MYO1D"
"ENSG00000239148",35276,1.0993109742888e-28,"U8"
"ENSG00000174953",12084,1.29594518445876e-28,"DHX36"
"ENSG00000255050",29389,1.37446003523756e-28,"RP11-661A12.9"
"ENSG00000227777",3854,1.60299720108254e-28,"RP4-738P11.3"
"ENSG00000201843",31613,1.76372821667119e-28,"Y_RNA"
"ENSG00000237082",41782,1.77556551312722e-28,"COX5BP6"
"ENSG00000143341",4199,2.2157997188595e-28,"HMCN1"
"ENSG00000196289",5272,2.41297162062806e-28,"BECN2"
"ENSG00000125492",31591,2.82719185793609e-28,"BARHL1"
"ENSG00000252985",31395,2.95554126626681e-28,"SNORD116"
"ENSG00000241409",9454,3.294263711359e-28,"AC064852.4"
"ENSG00000253557",27463,3.37393710052975e-28,"RP11-1080G15.1"
"ENSG00000259508",43955,3.59722654287086e-28,"RP11-661D19.3"
"ENSG00000277186",40545,3.59722654287086e-28,"RP13-554M15.8"
"ENSG00000214259",48876,3.73733557760872e-28,"RP11-568J23.1"
"ENSG00000134324",5681,3.81392683254428e-28,"LPIN1"
"ENSG00000225152",37343,3.81392683254428e-28,"RP11-338O1.2"
"ENSG00000200731",27939,4.51236960258719e-28,"RNU1-124P"
"ENSG00000287610",24537,4.66890349426389e-28,NA
"ENSG00000251698",51543,5.1006070465534e-28,"RNA5SP445"
"ENSG00000199575",43830,5.60587401441263e-28,"SNORD114-1"
"ENSG00000207995",25787,6.09921781694764e-28,"MIR325"
"ENSG00000262115",51974,6.48479879365835e-28,"RP11-455O6.2"
"ENSG00000207044",20668,6.73147248708496e-28,"RNU6-1226P"
"ENSG00000200338",13506,7.32253328118641e-28,"RNU1-49P"
"ENSG00000232809",4729,7.51860626371179e-28,"VDAC1P10"
"ENSG00000234711",56,7.81055877469316e-28,"TUBB8P11"
"ENSG00000248724",11732,8.77100609713966e-28,"NPHP3-AS1"
"ENSG00000266124",46530,8.94961925791113e-28,"MIR5587"
"ENSG00000258534",44005,1.0099940044821e-27,"CTD-2134A5.4"
"ENSG00000265345",40344,1.33178612730459e-27,"MIR5188"
"ENSG00000272474",43825,1.46472175130532e-27,"SNORD113-5"
"ENSG00000229326",7662,2.05212100911854e-27,"AC069154.4"
"ENSG00000278331",30212,2.05212100911854e-27,"RNU6-156P"
"ENSG00000256381",37646,2.10986161245258e-27,"RP11-500M8.4"
"ENSG00000144036",6686,2.11751231709511e-27,"EXOC6B"
"ENSG00000067064",35215,2.23723151599594e-27,"IDI1"
"ENSG00000256804",40520,2.25077267755637e-27,"RP13-977J11.5"
"ENSG00000256594",37882,3.53615202937203e-27,"RP11-705C15.2"
"ENSG00000265423",23231,4.77934672611495e-27,"MIR4652"
"ENSG00000231700",3529,5.57103941267561e-27,"RP11-367J7.4"
"ENSG00000127074",4261,5.59800043500985e-27,"RGS13"
"ENSG00000200309",38621,6.38600248067728e-27,"Y_RNA"
"ENSG00000265112",30732,6.48893691020632e-27,"MIR3153"
"ENSG00000092036",42342,6.71897178495177e-27,"HAUS4"
"ENSG00000136098",41275,6.90680055633045e-27,"NEK3"
"ENSG00000014257",11722,7.48253584387078e-27,"ACPP"
"ENSG00000223794",4057,7.48253584387078e-27,"COX5BP8"
"ENSG00000166455",48762,7.52366023430561e-27,"C16orf46"
"ENSG00000279758",46015,7.98706846730149e-27,"RP11-752G15.10"
"ENSG00000123219",16453,9.08567925260086e-27,"CENPK"
"ENSG00000181652",24439,9.42450773154268e-27,"ATG9B"
"ENSG00000278863",51319,9.8331233176694e-27,"RP11-567L7.3"
"ENSG00000270445",40291,1.43049763449334e-26,"RP11-972P1.8"
"ENSG00000231222",41556,1.4933589120427e-26,"ARF4P4"
"ENSG00000258651",42671,1.5412839115318e-26,"RP11-545M17.1"
"ENSG00000107959",35242,1.54163132901117e-26,"PITRM1"
"ENSG00000181752",33085,1.54615339401015e-26,"OR8K5"
"ENSG00000199053",49350,1.64308198281529e-26,"MIR324"
"ENSG00000170477",38782,1.90915121389809e-26,"KRT4"
"ENSG00000255400",32366,1.98093525549928e-26,"RP13-631K18.5"
"ENSG00000091409",8401,2.07020866555666e-26,"ITGA6"
"ENSG00000232037",709,2.17152188531804e-26,"RP11-26H16.1"
"ENSG00000048828",30825,2.18388529617747e-26,"FAM120A"
"ENSG00000172469",20445,2.18388529617747e-26,"MANEA"
"ENSG00000286541",4331,2.18388529617747e-26,NA
"ENSG00000218502",41744,2.30823028960714e-26,"H2AFZP3"
"ENSG00000272770",49154,2.31342468772267e-26,"RP11-74E22.5"
"ENSG00000273552",40830,2.5427120269133e-26,"RP11-87C7.3"
"ENSG00000252840",3188,2.85573431065509e-26,"SNORA44"
