study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	fastq_ftp
PRJEB2784	SAMEA1499347	ERS158799	ERX140420	ERR164543	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164543/ERR164543_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164543/ERR164543_2.fastq.gz
PRJEB2784	SAMEA1499249	ERS158800	ERX140421	ERR164544	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164544/ERR164544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164544/ERR164544_2.fastq.gz
PRJEB2784	SAMEA1499227	ERS158801	ERX140422	ERR164545	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164545/ERR164545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164545/ERR164545_2.fastq.gz
PRJEB2784	SAMEA1499232	ERS158802	ERX140423	ERR164546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164546/ERR164546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164546/ERR164546_2.fastq.gz
PRJEB2784	SAMEA1499373	ERS158803	ERX140424	ERR164547	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164547/ERR164547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164547/ERR164547_2.fastq.gz
PRJEB2784	SAMEA1499352	ERS158804	ERX140425	ERR164548	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164548/ERR164548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164548/ERR164548_2.fastq.gz
PRJEB2784	SAMEA1499325	ERS158805	ERX140426	ERR164549	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164549/ERR164549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164549/ERR164549_2.fastq.gz
PRJEB2784	SAMEA1499272	ERS167310	ERX140427	ERR164550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164550/ERR164550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164550/ERR164550_2.fastq.gz
PRJEB2784	SAMEA1499302	ERS167311	ERX140428	ERR164551	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164551/ERR164551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164551/ERR164551_2.fastq.gz
PRJEB2784	SAMEA1499306	ERS167312	ERX140429	ERR164552	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164552/ERR164552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164552/ERR164552_2.fastq.gz
PRJEB2784	SAMEA1499329	ERS167313	ERX140430	ERR164553	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164553/ERR164553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164553/ERR164553_2.fastq.gz
PRJEB2784	SAMEA1499346	ERS167314	ERX140431	ERR164554	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164554/ERR164554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164554/ERR164554_2.fastq.gz
PRJEB2784	SAMEA1499362	ERS167315	ERX140432	ERR164555	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164555/ERR164555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164555/ERR164555_2.fastq.gz
PRJEB2784	SAMEA1499376	ERS167316	ERX140433	ERR164556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164556/ERR164556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164556/ERR164556_2.fastq.gz
PRJEB2784	SAMEA1499226	ERS167317	ERX140434	ERR164557	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164557/ERR164557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164557/ERR164557_2.fastq.gz
PRJEB2784	SAMEA1499250	ERS167318	ERX140435	ERR164558	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164558/ERR164558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164558/ERR164558_2.fastq.gz
PRJEB2784	SAMEA1499277	ERS167319	ERX140436	ERR164559	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164559/ERR164559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164559/ERR164559_2.fastq.gz
PRJEB2784	SAMEA1499328	ERS167320	ERX140437	ERR164560	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164560/ERR164560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164560/ERR164560_2.fastq.gz
PRJEB2784	SAMEA1499305	ERS167321	ERX140438	ERR164561	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164561/ERR164561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164561/ERR164561_2.fastq.gz
PRJEB2784	SAMEA1499364	ERS167322	ERX140439	ERR164562	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164562/ERR164562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164562/ERR164562_2.fastq.gz
PRJEB2784	SAMEA1499359	ERS167323	ERX140440	ERR164563	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164563/ERR164563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164563/ERR164563_2.fastq.gz
PRJEB2784	SAMEA1499241	ERS167324	ERX140441	ERR164564	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164564/ERR164564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164564/ERR164564_2.fastq.gz
PRJEB2784	SAMEA1499230	ERS167325	ERX140442	ERR164565	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164565/ERR164565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164565/ERR164565_2.fastq.gz
PRJEB2784	SAMEA1499288	ERS167326	ERX140443	ERR164566	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164566/ERR164566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164566/ERR164566_2.fastq.gz
PRJEB2784	SAMEA1499300	ERS167327	ERX140444	ERR164567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164567/ERR164567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164567/ERR164567_2.fastq.gz
PRJEB2784	SAMEA1499278	ERS167328	ERX140445	ERR164568	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164568/ERR164568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164568/ERR164568_2.fastq.gz
PRJEB2784	SAMEA1499331	ERS167329	ERX140446	ERR164569	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164569/ERR164569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164569/ERR164569_2.fastq.gz
PRJEB2784	SAMEA1499322	ERS167330	ERX140447	ERR164570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164570/ERR164570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164570/ERR164570_2.fastq.gz
PRJEB2784	SAMEA1499334	ERS167331	ERX140448	ERR164571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164571/ERR164571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164571/ERR164571_2.fastq.gz
PRJEB2784	SAMEA1499284	ERS167332	ERX140449	ERR164572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164572/ERR164572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164572/ERR164572_2.fastq.gz
PRJEB2784	SAMEA1499264	ERS167333	ERX140450	ERR164573	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164573/ERR164573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164573/ERR164573_2.fastq.gz
PRJEB2784	SAMEA1499254	ERS167334	ERX140451	ERR164574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164574/ERR164574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164574/ERR164574_2.fastq.gz
PRJEB2784	SAMEA1499239	ERS167335	ERX140452	ERR164575	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164575/ERR164575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164575/ERR164575_2.fastq.gz
PRJEB2784	SAMEA1499380	ERS167336	ERX140453	ERR164576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164576/ERR164576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164576/ERR164576_2.fastq.gz
PRJEB2784	SAMEA1499355	ERS167337	ERX140454	ERR164577	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164577/ERR164577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164577/ERR164577_2.fastq.gz
PRJEB2784	SAMEA1499342	ERS167338	ERX140455	ERR164578	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164578/ERR164578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164578/ERR164578_2.fastq.gz
PRJEB2784	SAMEA1499323	ERS167339	ERX140456	ERR164579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164579/ERR164579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164579/ERR164579_2.fastq.gz
PRJEB2784	SAMEA1499339	ERS167340	ERX140457	ERR164580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164580/ERR164580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164580/ERR164580_2.fastq.gz
PRJEB2784	SAMEA1499357	ERS167341	ERX140458	ERR164581	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164581/ERR164581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164581/ERR164581_2.fastq.gz
PRJEB2784	SAMEA1499345	ERS167342	ERX140459	ERR164582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164582/ERR164582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164582/ERR164582_2.fastq.gz
PRJEB2784	SAMEA1499366	ERS167343	ERX140460	ERR164583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164583/ERR164583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164583/ERR164583_2.fastq.gz
PRJEB2784	SAMEA1499222	ERS167344	ERX140461	ERR164584	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164584/ERR164584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164584/ERR164584_2.fastq.gz
PRJEB2784	SAMEA1499257	ERS167345	ERX140462	ERR164585	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164585/ERR164585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164585/ERR164585_2.fastq.gz
PRJEB2784	SAMEA1499280	ERS167346	ERX140463	ERR164586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164586/ERR164586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164586/ERR164586_2.fastq.gz
PRJEB2784	SAMEA1499280	ERS167346	ERX140464	ERR164587	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164587/ERR164587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164587/ERR164587_2.fastq.gz
PRJEB2784	SAMEA1499299	ERS167347	ERX140465	ERR164588	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164588/ERR164588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164588/ERR164588_2.fastq.gz
PRJEB2784	SAMEA1499324	ERS167348	ERX140466	ERR164589	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164589/ERR164589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164589/ERR164589_2.fastq.gz
PRJEB2784	SAMEA1499332	ERS167349	ERX140467	ERR164590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164590/ERR164590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164590/ERR164590_2.fastq.gz
PRJEB2784	SAMEA1499326	ERS167350	ERX140468	ERR164591	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164591/ERR164591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164591/ERR164591_2.fastq.gz
PRJEB2784	SAMEA1499266	ERS167351	ERX140469	ERR164592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164592/ERR164592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164592/ERR164592_2.fastq.gz
PRJEB2784	SAMEA1499292	ERS167352	ERX140470	ERR164593	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164593/ERR164593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164593/ERR164593_2.fastq.gz
PRJEB2784	SAMEA1499296	ERS167353	ERX140471	ERR164594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164594/ERR164594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164594/ERR164594_2.fastq.gz
PRJEB2784	SAMEA1499233	ERS167354	ERX140472	ERR164595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164595/ERR164595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164595/ERR164595_2.fastq.gz
PRJEB2784	SAMEA1499260	ERS167355	ERX140473	ERR164596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164596/ERR164596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164596/ERR164596_2.fastq.gz
PRJEB2784	SAMEA1499260	ERS167355	ERX140474	ERR164597	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164597/ERR164597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164597/ERR164597_2.fastq.gz
PRJEB2784	SAMEA1499358	ERS167356	ERX140475	ERR164598	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164598/ERR164598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164598/ERR164598_2.fastq.gz
PRJEB2784	SAMEA1499358	ERS167356	ERX140476	ERR164599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164599/ERR164599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164599/ERR164599_2.fastq.gz
PRJEB2784	SAMEA1499378	ERS167357	ERX140477	ERR164600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164600/ERR164600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164600/ERR164600_2.fastq.gz
PRJEB2784	SAMEA1499313	ERS167358	ERX140478	ERR164601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164601/ERR164601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164601/ERR164601_2.fastq.gz
PRJEB2784	SAMEA1499333	ERS167359	ERX140479	ERR164602	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164602/ERR164602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164602/ERR164602_2.fastq.gz
PRJEB2784	SAMEA1499268	ERS167360	ERX140480	ERR164603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164603/ERR164603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164603/ERR164603_2.fastq.gz
PRJEB2784	SAMEA1499251	ERS167361	ERX140481	ERR164604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164604/ERR164604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164604/ERR164604_2.fastq.gz
PRJEB2784	SAMEA1499235	ERS167362	ERX140482	ERR164605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164605/ERR164605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164605/ERR164605_2.fastq.gz
PRJEB2784	SAMEA1499261	ERS167363	ERX140483	ERR164606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164606/ERR164606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164606/ERR164606_2.fastq.gz
PRJEB2784	SAMEA1499240	ERS167364	ERX140484	ERR164607	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164607/ERR164607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164607/ERR164607_2.fastq.gz
PRJEB2784	SAMEA1499224	ERS167365	ERX140485	ERR164608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164608/ERR164608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164608/ERR164608_2.fastq.gz
PRJEB2784	SAMEA1499291	ERS167366	ERX140486	ERR164609	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164609/ERR164609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164609/ERR164609_2.fastq.gz
PRJEB2784	SAMEA1499276	ERS167367	ERX140487	ERR164610	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164610/ERR164610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164610/ERR164610_2.fastq.gz
PRJEB2784	SAMEA1499341	ERS167368	ERX140488	ERR164611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164611/ERR164611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164611/ERR164611_2.fastq.gz
PRJEB2784	SAMEA1499310	ERS167369	ERX140489	ERR164612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164612/ERR164612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164612/ERR164612_2.fastq.gz
PRJEB2784	SAMEA1499367	ERS167370	ERX140490	ERR164613	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164613/ERR164613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164613/ERR164613_2.fastq.gz
PRJEB2784	SAMEA1499237	ERS167371	ERX140491	ERR164614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164614/ERR164614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164614/ERR164614_2.fastq.gz
PRJEB2784	SAMEA1499245	ERS167372	ERX140492	ERR164615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164615/ERR164615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164615/ERR164615_2.fastq.gz
PRJEB2784	SAMEA1499265	ERS167373	ERX140493	ERR164616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164616/ERR164616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164616/ERR164616_2.fastq.gz
PRJEB2784	SAMEA1499287	ERS167374	ERX140494	ERR164617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164617/ERR164617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164617/ERR164617_2.fastq.gz
PRJEB2784	SAMEA1499293	ERS167375	ERX140495	ERR164618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164618/ERR164618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR164/ERR164618/ERR164618_2.fastq.gz
